Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2020-05-02,212.3596701949,210.6227819507,217.5523222656,205.4940718338
ETH,2020-05-03,214.7327163811,212.3608688402,215.8868401065,210.79816406
ETH,2020-05-04,210.186762411,214.468866682,219.8058106908,205.7052979905
ETH,2020-05-05,207.6209439135,210.1831644341,210.7856383804,195.3044076546
ETH,2020-05-06,205.092216255,207.6194601556,211.873669248,201.4883896842
ETH,2020-05-07,206.1612678004,205.5914139138,211.0983499235,202.2826851778
ETH,2020-05-08,212.970768396,206.1614410139,215.2475411747,197.2693053261
ETH,2020-05-09,213.6120027829,212.9740680423,216.724547681,207.348637873
ETH,2020-05-10,211.372735156,213.620015018,215.3336101458,209.1647938328
ETH,2020-05-11,188.6446608457,211.3656223364,212.1112049883,180.8481710937
ETH,2020-05-12,186.0147754649,187.7541425977,193.7202067419,176.4929059586
ETH,2020-05-13,189.8181868394,186.0055493026,192.3451120775,183.9696720261
ETH,2020-05-14,199.471247703,190.0451615281,201.2871007591,188.7042576596
ETH,2020-05-15,203.7694208006,199.4691312881,206.1465775264,196.0343206898
ETH,2020-05-16,196.1392798869,203.2278953484,204.078240382,191.7253123368
ETH,2020-05-17,201.4660091385,196.1356100257,203.2352094494,193.2292918609
ETH,2020-05-18,207.4047794108,201.4678380536,209.741940357,199.714298253
ETH,2020-05-19,214.5257267984,206.958977429,216.7254540057,206.9555381664
ETH,2020-05-20,213.6812562322,214.5154874947,216.0656567187,209.3485393396
ETH,2020-05-21,209.8536710415,213.6803599448,215.4787237115,206.0796064365
ETH,2020-05-22,200.2877989063,209.8502129526,211.5762202129,191.5550319995
ETH,2020-05-23,208.0416960737,200.2859745086,209.1385279314,196.2872486548
ETH,2020-05-24,207.6257022565,208.0324657325,211.2689489963,204.8650978582
ETH,2020-05-25,206.452974771,207.6066018029,210.5720353803,201.822772114
ETH,2020-05-26,204.038221714,206.4468955111,206.4837506405,198.104269964
ETH,2020-05-27,201.2088663208,204.0379521386,205.0093602657,197.0367907963
ETH,2020-05-28,206.1006556031,201.2088663206,207.9944507042,200.5210605992
ETH,2020-05-29,216.5178744013,206.0985450101,216.7993318037,202.1671566902
ETH,2020-05-30,220.5019166374,216.5247350842,224.6402210043,216.2318115129
ETH,2020-05-31,243.6303481192,220.8556352514,246.8044660661,218.8650761494
ETH,2020-06-01,231.2504175786,243.6270585284,245.2636687554,229.7878560698
ETH,2020-06-02,250.0599160501,231.2100601725,250.7284854657,230.6284228458
ETH,2020-06-03,237.3090652858,250.0726041158,253.147878327,226.29373382
ETH,2020-06-04,244.5193627884,237.3095508894,245.0051614421,233.6978643143
ETH,2020-06-05,243.4132803896,244.5416669637,246.5683121705,236.4287199802
ETH,2020-06-06,240.7663785849,243.420504845,248.0077120602,239.3617532687
ETH,2020-06-07,242.3213962566,240.7523323749,244.67170298,238.0540542749
ETH,2020-06-08,243.825655085,242.3213939748,245.2421558585,235.0061350069
ETH,2020-06-09,247.0407955737,243.8256907979,247.2317980298,241.0991912782
ETH,2020-06-10,244.5428506736,247.0468660299,249.7179110174,239.427573638
ETH,2020-06-11,247.4454296066,244.5875966792,250.0458471899,242.4295597171
ETH,2020-06-12,230.5056339076,247.4446279621,250.0579672684,226.1818994218
ETH,2020-06-13,237.2197469187,230.5220549828,239.474035864,228.2728449325
ETH,2020-06-14,238.2201400896,237.2259908291,238.7501715182,234.635040874
ETH,2020-06-15,232.6132804986,238.2201400918,238.5668448215,229.9142633219
